                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     84,                 0.8372,                0.53576,                0.91504,                 0.9669,                0.83721,                0.93956,                0.67986,                0.86312,                0.58004,                0.91767,              0.0014522,              0.0014522,              0.0014522
                     85,                0.85196,                0.54762,                0.91829,                0.97281,                0.83211,                0.92132,                0.68912,                0.87418,                0.62181,                0.91284,              0.0014456,              0.0014456,              0.0014456
                     86,                0.82977,                0.53375,                0.90887,                0.91706,                0.86047,                 0.9091,                0.66919,                0.96173,                0.60728,                0.96783,               0.001439,               0.001439,               0.001439
                     87,                0.84023,                0.52826,                 0.9066,                0.94862,                0.85882,                0.91102,                0.64616,                 1.0801,                0.66028,                 1.0238,              0.0014324,              0.0014324,              0.0014324
                     88,                0.82698,                 0.5326,                0.90409,                0.97217,                0.86047,                0.93286,                0.68766,                0.93045,                0.55981,                0.95313,              0.0014258,              0.0014258,              0.0014258
                     89,                0.80309,                0.51927,                0.90558,                0.97362,                0.85827,                0.93803,                0.65235,                  1.021,                0.56072,                0.96344,              0.0014192,              0.0014192,              0.0014192
                     90,                0.80561,                0.52517,                0.90113,                0.96646,                0.83721,                0.93419,                0.66651,                0.95049,                0.59724,                0.94081,              0.0014126,              0.0014126,              0.0014126
                     91,                0.85486,                0.54794,                0.93139,                0.93497,                0.81395,                 0.9074,                0.69216,                0.95964,                0.72987,                 0.9251,               0.001406,               0.001406,               0.001406
                     92,                0.84704,                0.54903,                0.90837,                0.96042,                0.81395,                0.91482,                0.66477,                0.87354,                0.61546,                0.90352,              0.0013994,              0.0013994,              0.0013994
                     93,                0.82196,                0.52636,                0.89709,                0.96521,                0.81395,                0.92499,                0.66249,                 1.0075,                0.60784,                0.92206,              0.0013928,              0.0013928,              0.0013928
                     94,                0.89413,                0.55418,                0.91862,                0.96393,                0.86047,                0.94409,                0.68694,                0.86866,                 0.5566,                0.89708,              0.0013862,              0.0013862,              0.0013862
                     95,                0.81091,                0.51298,                0.88315,                0.96697,                0.86047,                0.94555,                 0.6949,                0.89774,                0.52405,                0.92127,              0.0013796,              0.0013796,              0.0013796
                     96,                 0.8162,                0.51623,                0.90431,                0.90626,                0.90698,                0.94536,                0.69737,                 0.9827,                0.58036,                0.93696,               0.001373,               0.001373,               0.001373
                     97,                0.80573,                0.53784,                0.91181,                0.97027,                0.86047,                0.94189,                0.68258,                0.91048,                0.54787,                0.92034,              0.0013664,              0.0013664,              0.0013664
                     98,                 0.8105,                0.52339,                0.90148,                0.94451,                0.86047,                0.93239,                0.65409,                0.91457,                0.56179,                0.91604,              0.0013598,              0.0013598,              0.0013598
                     99,                0.78081,                0.50915,                0.91513,                0.96521,                0.88372,                0.94511,                0.66323,                 0.9575,                0.54015,                0.92062,              0.0013532,              0.0013532,              0.0013532
                    100,                0.80176,                0.53103,                0.90037,                0.94546,                0.88372,                0.92189,                0.66893,                0.89535,                0.62383,                0.91155,              0.0013466,              0.0013466,              0.0013466
                    101,                0.79322,                0.51321,                0.90393,                0.92677,                0.88302,                0.92979,                0.68012,                0.82446,                0.59857,                0.89717,                0.00134,                0.00134,                0.00134
                    102,                0.78119,                0.52209,                 0.9043,                0.97385,                0.83721,                0.94169,                0.67211,                0.85563,                0.57896,                0.91854,              0.0013334,              0.0013334,              0.0013334
                    103,                0.76407,                0.50917,                0.89093,                0.90683,                 0.9054,                 0.9358,                0.67607,                 0.8828,                0.63873,                0.91517,              0.0013268,              0.0013268,              0.0013268
                    104,                0.75036,                0.49678,                0.88212,                0.92049,                0.86047,                 0.9255,                 0.6572,                 1.0354,                0.64219,                0.95987,              0.0013202,              0.0013202,              0.0013202
                    105,                0.78881,                0.49684,                  0.901,                0.92675,                0.88266,                0.93253,                0.64331,                 1.0124,                0.58259,                0.95178,              0.0013136,              0.0013136,              0.0013136
                    106,                0.80361,                0.51969,                0.89236,                0.94805,                0.93023,                 0.9335,                 0.6677,                0.94645,                0.54473,                0.94056,               0.001307,               0.001307,               0.001307
                    107,                0.76011,                0.49307,                0.88167,                0.99967,                0.88372,                0.93513,                 0.6821,                0.93105,                0.54374,                0.94467,              0.0013004,              0.0013004,              0.0013004
                    108,                 0.7832,                0.50137,                0.90577,                0.97394,                0.90698,                0.94036,                0.63189,                0.90609,                 0.5617,                0.93943,              0.0012938,              0.0012938,              0.0012938
                    109,                0.83202,                0.53013,                0.90222,                0.94383,                0.88372,                0.94001,                0.64976,                 0.8963,                0.63865,                0.94801,              0.0012872,              0.0012872,              0.0012872
